isced_2_digits,isced_2_digits_field,isced_3_digits,isced_3_digits_field
051,Biological and related sciences,0511,Biology
051,Biological and related sciences,0512,Biochemistry
052,Environment,0521,Environmental sciences
052,Environment,0522,Natural environments and wildlife
053,Physical sciences,0531,Chemistry
053,Physical sciences,0532,Earth sciences
053,Physical sciences,0533,Physics
054,Mathematics and statistics,0541,Mathematics
054,Mathematics and statistics,0542,Statistics
061,Information and Communication Technologies,0611,Computer use
061,Information and Communication Technologies,0612,Database and network design and administration
061,Information and Communication Technologies,0613,Software and applications development and analysis
071,Engineering and engineering trades,0711,Chemical engineering and processes
071,Engineering and engineering trades,0712,Environmental protection technology
071,Engineering and engineering trades,0713,Electricity and energy
071,Engineering and engineering trades,0714,Electronics and automation
071,Engineering and engineering trades,0715,Mechanics and metal trades
071,Engineering and engineering trades,0716,Motor vehicles ships and aircraft
072,Manufacturing and processing,0721,Food processing
072,Manufacturing and processing,0722,Materials (glass paper plastic and wood)
072,Manufacturing and processing,0723,Textiles (clothes footwear and leather)
072,Manufacturing and processing,0724,Mining and extraction
073,Architecture and construction,0731,Architecture and town planning
073,Architecture and construction,0732,Building and civil engineering
081,Agriculture,0811,Crop and livestock production
082,Forestry,0821,Forestry
083,Fisheries,0831,Fisheries
104,Transport services,1041,Transport services
